description,dis,sNumber,sTag,servArea,incType,numInc,numStand,perMet,90Avg,q,rank,rankQ4
Non-Emergency Incident,NORTH & WEST REGIONAL,71,FS71,Portland,nonInc,3,26,89.7,7.6,1,36,51
Emergency Incident,NORTH & WEST REGIONAL,71,FS71,Portland,emInc,29,26,89.7,7.6,1,36,51
Incident Total,NORTH & WEST REGIONAL,71,FS71,Portland,totInc,32,26,89.7,7.6,1,36,51
Non-Emergency Incident,EASTERN,84,FS84,South Warrandyte,nonInc,4,17,89.5,8.9,1,37,70
Emergency Incident,EASTERN,84,FS84,South Warrandyte,emInc,19,17,89.5,8.9,1,37,70
Incident Total,EASTERN,84,FS84,South Warrandyte,totInc,23,17,89.5,8.9,1,37,70
Non-Emergency Incident,CENTRAL,18,FS18,Hawthorn,nonInc,23,218,89.3,7.9,1,38,47
Emergency Incident,CENTRAL,18,FS18,Hawthorn,emInc,244,218,89.3,7.9,1,38,47
Incident Total,CENTRAL,18,FS18,Hawthorn,totInc,267,218,89.3,7.9,1,38,47
Non-Emergency Incident,SOUTHERN D2,91,FS91,Frankston,nonInc,8,251,89.3,7.9,1,39,26
Emergency Incident,SOUTHERN D2,91,FS91,Frankston,emInc,281,251,89.3,7.9,1,39,26
Incident Total,SOUTHERN D2,91,FS91,Frankston,totInc,289,251,89.3,7.9,1,39,26
Non-Emergency Incident,CENTRAL,50,FS50,Ascot Vale,nonInc,8,190,89.2,7.9,1,40,48
Emergency Incident,CENTRAL,50,FS50,Ascot Vale,emInc,213,190,89.2,7.9,1,40,48
Incident Total,CENTRAL,50,FS50,Ascot Vale,totInc,221,190,89.2,7.9,1,40,48
Non-Emergency Incident,SOUTH & EAST REGIONAL,79,FS79,Latrobe West,nonInc,4,49,89.1,8.1,1,41,53
Emergency Incident,SOUTH & EAST REGIONAL,79,FS79,Latrobe West,emInc,55,49,89.1,8.1,1,41,53
Incident Total,SOUTH & EAST REGIONAL,79,FS79,Latrobe West,totInc,59,49,89.1,8.1,1,41,53
Non-Emergency Incident,CENTRAL,39,FS39,Port Melbourne,nonInc,5,154,89,8.3,1,42,32
Emergency Incident,CENTRAL,39,FS39,Port Melbourne,emInc,173,154,89,8.3,1,42,32
Incident Total,CENTRAL,39,FS39,Port Melbourne,totInc,178,154,89,8.3,1,42,32
Non-Emergency Incident,NORTHERN,16,FS16,Greensborough,nonInc,11,71,88.8,8.9,1,43,31
Emergency Incident,NORTHERN,16,FS16,Greensborough,emInc,80,71,88.8,8.9,1,43,31
Incident Total,NORTHERN,16,FS16,Greensborough,totInc,91,71,88.8,8.9,1,43,31
Non-Emergency Incident,EASTERN,27,FS27,Nunawading,nonInc,11,119,88.8,8.3,1,44,18
Emergency Incident,EASTERN,27,FS27,Nunawading,emInc,134,119,88.8,8.3,1,44,18
Incident Total,EASTERN,27,FS27,Nunawading,totInc,145,119,88.8,8.3,1,44,18
Non-Emergency Incident,NORTHERN,5,FS5,Broadmeadows,nonInc,21,212,88.7,8.2,1,45,69
Emergency Incident,NORTHERN,5,FS5,Broadmeadows,emInc,239,212,88.7,8.2,1,45,69
Incident Total,NORTHERN,5,FS5,Broadmeadows,totInc,260,212,88.7,8.2,1,45,69
Non-Emergency Incident,CENTRAL,13,FS13,Northcote,nonInc,23,165,88.7,7.9,1,46,59
Emergency Incident,CENTRAL,13,FS13,Northcote,emInc,186,165,88.7,7.9,1,46,59
Incident Total,CENTRAL,13,FS13,Northcote,totInc,209,165,88.7,7.9,1,46,59
Non-Emergency Incident,EASTERN,82,FS82,Eltham City,nonInc,16,53,88.3,8,1,47,39
Emergency Incident,EASTERN,82,FS82,Eltham City,emInc,60,53,88.3,8,1,47,39
Incident Total,EASTERN,82,FS82,Eltham City,totInc,76,53,88.3,8,1,47,39
Non-Emergency Incident,NORTH & WEST REGIONAL,72,FS72,Mildura,nonInc,12,113,87.6,8.3,1,48,33
Emergency Incident,NORTH & WEST REGIONAL,72,FS72,Mildura,emInc,129,113,87.6,8.3,1,48,33
Incident Total,NORTH & WEST REGIONAL,72,FS72,Mildura,totInc,141,113,87.6,8.3,1,48,33
Non-Emergency Incident,WESTERN D2,43,FS43,Deer Park,nonInc,14,117,87.3,8.4,1,49,73
Emergency Incident,WESTERN D2,43,FS43,Deer Park,emInc,134,117,87.3,8.4,1,49,73
Incident Total,WESTERN D2,43,FS43,Deer Park,totInc,148,117,87.3,8.4,1,49,73
Non-Emergency Incident,NORTHERN,11,FS11,Epping,nonInc,13,115,87.1,8.3,1,50,23
Emergency Incident,NORTHERN,11,FS11,Epping,emInc,132,115,87.1,8.3,1,50,23
Incident Total,NORTHERN,11,FS11,Epping,totInc,145,115,87.1,8.3,1,50,23
Non-Emergency Incident,SOUTHERN D2,95,FS95,Rosebud,nonInc,8,54,87.1,7.7,1,51,6
Emergency Incident,SOUTHERN D2,95,FS95,Rosebud,emInc,62,54,87.1,7.7,1,51,6
Incident Total,SOUTHERN D2,95,FS95,Rosebud,totInc,70,54,87.1,7.7,1,51,6
Non-Emergency Incident,NORTH & WEST REGIONAL,70,FS70,Warrnambool,nonInc,10,100,87,7.9,1,52,60
Emergency Incident,NORTH & WEST REGIONAL,70,FS70,Warrnambool,emInc,115,100,87,7.9,1,52,60
Incident Total,NORTH & WEST REGIONAL,70,FS70,Warrnambool,totInc,125,100,87,7.9,1,52,60
Non-Emergency Incident,EASTERN,30,FS30,Templestowe,nonInc,9,72,86.7,8,1,53,40
Emergency Incident,EASTERN,30,FS30,Templestowe,emInc,83,72,86.7,8,1,53,40
Incident Total,EASTERN,30,FS30,Templestowe,totInc,92,72,86.7,8,1,53,40
Non-Emergency Incident,SOUTHERN D1,29,FS29,Clayton,nonInc,13,95,86.4,8,1,54,8
Emergency Incident,SOUTHERN D1,29,FS29,Clayton,emInc,110,95,86.4,8,1,54,8
Incident Total,SOUTHERN D1,29,FS29,Clayton,totInc,123,95,86.4,8,1,54,8
Non-Emergency Incident,SOUTHERN D1,31,FS31,Glen Waverley,nonInc,12,248,86.4,8.1,1,55,54
Emergency Incident,SOUTHERN D1,31,FS31,Glen Waverley,emInc,287,248,86.4,8.1,1,55,54
Incident Total,SOUTHERN D1,31,FS31,Glen Waverley,totInc,299,248,86.4,8.1,1,55,54
Non-Emergency Incident,SOUTHERN D1,24,FS24,Malvern,nonInc,8,144,86.2,8.2,1,56,30
Emergency Incident,SOUTHERN D1,24,FS24,Malvern,emInc,167,144,86.2,8.2,1,56,30
Incident Total,SOUTHERN D1,24,FS24,Malvern,totInc,175,144,86.2,8.2,1,56,30
Non-Emergency Incident,WESTERN D2,41,FS41,St Albans,nonInc,8,81,86.2,8.4,1,57,13
Emergency Incident,WESTERN D2,41,FS41,St Albans,emInc,94,81,86.2,8.4,1,57,13
Incident Total,WESTERN D2,41,FS41,St Albans,totInc,102,81,86.2,8.4,1,57,13
Non-Emergency Incident,SOUTH & EAST REGIONAL,75,FS75,Shepparton,nonInc,5,148,85.5,8.7,1,58,41
Emergency Incident,SOUTH & EAST REGIONAL,75,FS75,Shepparton,emInc,173,148,85.5,8.7,1,58,41
Incident Total,SOUTH & EAST REGIONAL,75,FS75,Shepparton,totInc,178,148,85.5,8.7,1,58,41
Non-Emergency Incident,WESTERN D3,62,FS62,Corio,nonInc,11,186,85.3,8.3,1,59,64
Emergency Incident,WESTERN D3,62,FS62,Corio,emInc,218,186,85.3,8.3,1,59,64
Incident Total,WESTERN D3,62,FS62,Corio,totInc,229,186,85.3,8.3,1,59,64
Non-Emergency Incident,NORTHERN,9,FS9,Somerton,nonInc,6,69,84.1,8.2,1,60,20
Emergency Incident,NORTHERN,9,FS9,Somerton,emInc,82,69,84.1,8.2,1,60,20
Incident Total,NORTHERN,9,FS9,Somerton,totInc,88,69,84.1,8.2,1,60,20
Non-Emergency Incident,SOUTHERN D1,34,FS34,Highett,nonInc,23,216,84,8.2,1,61,68
Emergency Incident,SOUTHERN D1,34,FS34,Highett,emInc,257,216,84,8.2,1,61,68
Incident Total,SOUTHERN D1,34,FS34,Highett,totInc,280,216,84,8.2,1,61,68
Non-Emergency Incident,SOUTH & EAST REGIONAL,76,FS76,Wodonga,nonInc,9,70,83.3,8.7,1,62,66
Emergency Incident,SOUTH & EAST REGIONAL,76,FS76,Wodonga,emInc,84,70,83.3,8.7,1,62,66
Incident Total,SOUTH & EAST REGIONAL,76,FS76,Wodonga,totInc,93,70,83.3,8.7,1,62,66
Non-Emergency Incident,SOUTHERN D1,89,FS89,Springvale,nonInc,17,124,83.2,8.3,1,63,63
Emergency Incident,SOUTHERN D1,89,FS89,Springvale,emInc,149,124,83.2,8.3,1,63,63
Incident Total,SOUTHERN D1,89,FS89,Springvale,totInc,166,124,83.2,8.3,1,63,63
Non-Emergency Incident,SOUTHERN D2,87,FS87,Dandenong,nonInc,20,265,83.1,8.8,1,64,56
Emergency Incident,SOUTHERN D2,87,FS87,Dandenong,emInc,319,265,83.1,8.8,1,64,56
Incident Total,SOUTHERN D2,87,FS87,Dandenong,totInc,339,265,83.1,8.8,1,64,56
Non-Emergency Incident,NORTHERN,81,FS81,South Morang,nonInc,3,29,82.9,8.4,1,65,44
Emergency Incident,NORTHERN,81,FS81,South Morang,emInc,35,29,82.9,8.4,1,65,44
Incident Total,NORTHERN,81,FS81,South Morang,totInc,38,29,82.9,8.4,1,65,44
Non-Emergency Incident,WESTERN D1,45,FS45,Spotswood,nonInc,4,52,82.5,8.2,1,66,71
Emergency Incident,WESTERN D1,45,FS45,Spotswood,emInc,63,52,82.5,8.2,1,66,71
Incident Total,WESTERN D1,45,FS45,Spotswood,totInc,67,52,82.5,8.2,1,66,71
Non-Emergency Incident,NORTHERN,80,FS80,Craigieburn,nonInc,15,134,82.2,8.6,1,67,77
Emergency Incident,NORTHERN,80,FS80,Craigieburn,emInc,163,134,82.2,8.6,1,67,77
Incident Total,NORTHERN,80,FS80,Craigieburn,totInc,178,134,82.2,8.6,1,67,77
Non-Emergency Incident,NORTHERN,6,FS6,Pascoe Vale,nonInc,10,123,82,8.8,1,68,72
Emergency Incident,NORTHERN,6,FS6,Pascoe Vale,emInc,150,123,82,8.8,1,68,72
Incident Total,NORTHERN,6,FS6,Pascoe Vale,totInc,160,123,82,8.8,1,68,72
Non-Emergency Incident,WESTERN D2,51,FS51,Keilor,nonInc,11,76,81.7,8.3,1,69,36
Emergency Incident,WESTERN D2,51,FS51,Keilor,emInc,93,76,81.7,8.3,1,69,36
Incident Total,WESTERN D2,51,FS51,Keilor,totInc,104,76,81.7,8.3,1,69,36
Non-Emergency Incident,WESTERN D1,40,FS40,Laverton,nonInc,11,125,79.1,8.9,1,70,74
Emergency Incident,WESTERN D1,40,FS40,Laverton,emInc,158,125,79.1,8.9,1,70,74
Incident Total,WESTERN D1,40,FS40,Laverton,totInc,169,125,79.1,8.9,1,70,74
Non-Emergency Incident,WESTERN D2,53,FS53,Sunbury,nonInc,9,71,78.9,9.7,1,71,76
Emergency Incident,WESTERN D2,53,FS53,Sunbury,emInc,90,71,78.9,9.7,1,71,76
Incident Total,WESTERN D2,53,FS53,Sunbury,totInc,99,71,78.9,9.7,1,71,76
Non-Emergency Incident,WESTERN D2,48,FS48,Taylors Lakes,nonInc,4,52,78.8,10.6,1,72,49
Emergency Incident,WESTERN D2,48,FS48,Taylors Lakes,emInc,66,52,78.8,10.6,1,72,49
Incident Total,WESTERN D2,48,FS48,Taylors Lakes,totInc,70,52,78.8,10.6,1,72,49
Non-Emergency Incident,WESTERN D2,56,FS56,Melton,nonInc,10,169,78.2,9.6,1,73,78
Emergency Incident,WESTERN D2,56,FS56,Melton,emInc,216,169,78.2,9.6,1,73,78
Incident Total,WESTERN D2,56,FS56,Melton,totInc,226,169,78.2,9.6,1,73,78
Non-Emergency Incident,WESTERN D1,46,FS46,Altona,nonInc,0,47,77,8.7,1,74,57
Emergency Incident,WESTERN D1,46,FS46,Altona,emInc,61,47,77,8.7,1,74,57
Incident Total,WESTERN D1,46,FS46,Altona,totInc,61,47,77,8.7,1,74,57
Non-Emergency Incident,WESTERN D1,59,FS59,Derrimut,nonInc,4,46,76.7,8.9,1,75,85
Emergency Incident,WESTERN D1,59,FS59,Derrimut,emInc,60,46,76.7,8.9,1,75,85
Incident Total,WESTERN D1,59,FS59,Derrimut,totInc,64,46,76.7,8.9,1,75,85
Non-Emergency Incident,WESTERN D2,52,FS52,Tullamarine,nonInc,4,85,76.6,8.7,1,76,80
Emergency Incident,WESTERN D2,52,FS52,Tullamarine,emInc,111,85,76.6,8.7,1,76,80
Incident Total,WESTERN D2,52,FS52,Tullamarine,totInc,115,85,76.6,8.7,1,76,80
Non-Emergency Incident,SOUTHERN D2,92,FS92,Cranbourne,nonInc,15,151,76.6,9,1,77,67
Emergency Incident,SOUTHERN D2,92,FS92,Cranbourne,emInc,197,151,76.6,9,1,77,67
Incident Total,SOUTHERN D2,92,FS92,Cranbourne,totInc,212,151,76.6,9,1,77,67
Non-Emergency Incident,SOUTHERN D2,90,FS90,Patterson River,nonInc,8,65,76.5,9,1,78,75
Emergency Incident,SOUTHERN D2,90,FS90,Patterson River,emInc,85,65,76.5,9,1,78,75
Incident Total,SOUTHERN D2,90,FS90,Patterson River,totInc,93,65,76.5,9,1,78,75
Non-Emergency Incident,WESTERN D1,57,FS57,Tarneit,nonInc,21,172,71.7,10,1,80,82
Emergency Incident,WESTERN D1,57,FS57,Tarneit,emInc,240,172,71.7,10,1,80,82
Incident Total,WESTERN D1,57,FS57,Tarneit,totInc,261,172,71.7,10,1,80,82
Non-Emergency Incident,SOUTHERN D2,88,FS88,Hallam,nonInc,14,131,71.6,9.9,1,81,55
Emergency Incident,SOUTHERN D2,88,FS88,Hallam,emInc,183,131,71.6,9.9,1,81,55
Incident Total,SOUTHERN D2,88,FS88,Hallam,totInc,197,131,71.6,9.9,1,81,55
Non-Emergency Incident,SOUTHERN D2,93,FS93,Pakenham,nonInc,4,88,69.8,10.2,1,82,58
Emergency Incident,SOUTHERN D2,93,FS93,Pakenham,emInc,126,88,69.8,10.2,1,82,58
Incident Total,SOUTHERN D2,93,FS93,Pakenham,totInc,130,88,69.8,10.2,1,82,58
Non-Emergency Incident,WESTERN D1,58,FS58,Point Cook,nonInc,1,62,68.1,10.1,1,83,79
Emergency Incident,WESTERN D1,58,FS58,Point Cook,emInc,91,62,68.1,10.1,1,83,79
Incident Total,WESTERN D1,58,FS58,Point Cook,totInc,92,62,68.1,10.1,1,83,79
Non-Emergency Incident,WESTERN D2,54,FS54,Greenvale,nonInc,3,33,67.3,10.2,1,84,81
Emergency Incident,WESTERN D2,54,FS54,Greenvale,emInc,49,33,67.3,10.2,1,84,81
Incident Total,WESTERN D2,54,FS54,Greenvale,totInc,52,33,67.3,10.2,1,84,81
Non-Emergency Incident,WESTERN D2,55,FS55,Caroline Springs,nonInc,10,93,60.8,9.4,1,85,84
Emergency Incident,WESTERN D2,55,FS55,Caroline Springs,emInc,153,93,60.8,9.4,1,85,84
Incident Total,WESTERN D2,55,FS55,Caroline Springs,totInc,163,93,60.8,9.4,1,85,84
Non-Emergency Incident,WESTERN D3,61,FS61,Lara,nonInc,3,31,59.6,11.1,1,86,83
Emergency Incident,WESTERN D3,61,FS61,Lara,emInc,52,31,59.6,11.1,1,86,83
Incident Total,WESTERN D3,61,FS61,Lara,totInc,55,31,59.6,11.1,1,86,83
Non-Emergency Incident,CENTRAL,3,FS3,Carlton,nonInc,18,317,97.8,6.5,2,1,3
Emergency Incident,CENTRAL,3,FS3,Carlton,emInc,324,317,97.8,6.5,2,1,3
Incident Total,CENTRAL,3,FS3,Carlton,totInc,342,317,97.8,6.5,2,1,3
Non-Emergency Incident,CENTRAL,1,FS1,Eastern Hill,nonInc,16,353,97,6,2,2,2
Emergency Incident,CENTRAL,1,FS1,Eastern Hill,emInc,364,353,97,6,2,2,2
Incident Total,CENTRAL,1,FS1,Eastern Hill,totInc,380,353,97,6,2,2,2
Non-Emergency Incident,WESTERN D3,66,FS66,Ocean Grove,nonInc,6,30,96.8,6.2,2,3,1
Emergency Incident,WESTERN D3,66,FS66,Ocean Grove,emInc,31,30,96.8,6.2,2,3,1
Incident Total,WESTERN D3,66,FS66,Ocean Grove,totInc,37,30,96.8,6.2,2,3,1
Non-Emergency Incident,EASTERN,85,FS85,Boronia,nonInc,22,75,96.2,6.9,2,4,28
Emergency Incident,EASTERN,85,FS85,Boronia,emInc,78,75,96.2,6.9,2,4,28
Incident Total,EASTERN,85,FS85,Boronia,totInc,100,75,96.2,6.9,2,4,28
Non-Emergency Incident,SOUTHERN D1,86,FS86,Rowville,nonInc,16,51,96.2,7,2,5,21
Emergency Incident,SOUTHERN D1,86,FS86,Rowville,emInc,53,51,96.2,7,2,5,21
Incident Total,SOUTHERN D1,86,FS86,Rowville,totInc,69,51,96.2,7,2,5,21
Non-Emergency Incident,CENTRAL,38,FS38,South Melbourne,nonInc,24,378,95.5,6.8,2,6,14
Emergency Incident,CENTRAL,38,FS38,South Melbourne,emInc,396,378,95.5,6.8,2,6,14
Incident Total,CENTRAL,38,FS38,South Melbourne,totInc,420,378,95.5,6.8,2,6,14
Non-Emergency Incident,EASTERN,30,FS30,Templestowe,nonInc,13,59,95.2,7.4,2,7,40
Emergency Incident,EASTERN,30,FS30,Templestowe,emInc,62,59,95.2,7.4,2,7,40
Incident Total,EASTERN,30,FS30,Templestowe,totInc,75,59,95.2,7.4,2,7,40
Non-Emergency Incident,CENTRAL,2,FS2,West Melbourne,nonInc,30,284,94.7,6.6,2,8,7
Emergency Incident,CENTRAL,2,FS2,West Melbourne,emInc,300,284,94.7,6.6,2,8,7
Incident Total,CENTRAL,2,FS2,West Melbourne,totInc,330,284,94.7,6.6,2,8,7
Non-Emergency Incident,NORTHERN,14,FS14,Bundoora,nonInc,19,144,94.7,7.4,2,9,46
Emergency Incident,NORTHERN,14,FS14,Bundoora,emInc,152,144,94.7,7.4,2,9,46
Incident Total,NORTHERN,14,FS14,Bundoora,totInc,171,144,94.7,7.4,2,9,46
Non-Emergency Incident,WESTERN D2,44,FS44,Sunshine,nonInc,38,126,94,7.3,2,10,24
Emergency Incident,WESTERN D2,44,FS44,Sunshine,emInc,134,126,94,7.3,2,10,24
Incident Total,WESTERN D2,44,FS44,Sunshine,totInc,172,126,94,7.3,2,10,24
Non-Emergency Incident,NORTH & WEST REGIONAL,67,FS67,Ballarat City,nonInc,6,103,93.6,6.6,2,11,4
Emergency Incident,NORTH & WEST REGIONAL,67,FS67,Ballarat City,emInc,110,103,93.6,6.6,2,11,4
Incident Total,NORTH & WEST REGIONAL,67,FS67,Ballarat City,totInc,116,103,93.6,6.6,2,11,4
Non-Emergency Incident,EASTERN,28,FS28,Vermont South,nonInc,25,114,93.4,7.3,2,12,19
Emergency Incident,EASTERN,28,FS28,Vermont South,emInc,122,114,93.4,7.3,2,12,19
Incident Total,EASTERN,28,FS28,Vermont South,totInc,147,114,93.4,7.3,2,12,19
Non-Emergency Incident,SOUTH & EAST REGIONAL,74,FS74,Wangaratta,nonInc,4,52,92.9,6.6,2,13,38
Emergency Incident,SOUTH & EAST REGIONAL,74,FS74,Wangaratta,emInc,56,52,92.9,6.6,2,13,38
Incident Total,SOUTH & EAST REGIONAL,74,FS74,Wangaratta,totInc,60,52,92.9,6.6,2,13,38
Non-Emergency Incident,SOUTHERN D2,94,FS94,Mornington,nonInc,4,79,92.9,7,2,14,25
Emergency Incident,SOUTHERN D2,94,FS94,Mornington,emInc,85,79,92.9,7,2,14,25
Incident Total,SOUTHERN D2,94,FS94,Mornington,totInc,89,79,92.9,7,2,14,25
Non-Emergency Incident,WESTERN D3,64,FS64,Belmont,nonInc,13,96,92.3,7.5,2,15,27
Emergency Incident,WESTERN D3,64,FS64,Belmont,emInc,104,96,92.3,7.5,2,15,27
Incident Total,WESTERN D3,64,FS64,Belmont,totInc,117,96,92.3,7.5,2,15,27
Non-Emergency Incident,SOUTH & EAST REGIONAL,77,FS77,Traralgon,nonInc,4,60,92.3,7.7,2,16,52
Emergency Incident,SOUTH & EAST REGIONAL,77,FS77,Traralgon,emInc,65,60,92.3,7.7,2,16,52
Incident Total,SOUTH & EAST REGIONAL,77,FS77,Traralgon,totInc,69,60,92.3,7.7,2,16,52
Non-Emergency Incident,EASTERN,22,FS22,Ringwood,nonInc,40,125,91.9,7.5,2,17,22
Emergency Incident,EASTERN,22,FS22,Ringwood,emInc,136,125,91.9,7.5,2,17,22
Incident Total,EASTERN,22,FS22,Ringwood,totInc,176,125,91.9,7.5,2,17,22
Non-Emergency Incident,NORTHERN,15,FS15,Heidelberg,nonInc,28,168,91.8,7.4,2,18,42
Emergency Incident,NORTHERN,15,FS15,Heidelberg,emInc,183,168,91.8,7.4,2,18,42
Incident Total,NORTHERN,15,FS15,Heidelberg,totInc,211,168,91.8,7.4,2,18,42
Non-Emergency Incident,SOUTHERN D2,91,FS91,Frankston,nonInc,30,179,91.8,7.6,2,19,26
Emergency Incident,SOUTHERN D2,91,FS91,Frankston,emInc,195,179,91.8,7.6,2,19,26
Incident Total,SOUTHERN D2,91,FS91,Frankston,totInc,225,179,91.8,7.6,2,19,26
Non-Emergency Incident,SOUTH & EAST REGIONAL,78,FS78,Morwell,nonInc,4,77,91.7,7.2,2,20,15
Emergency Incident,SOUTH & EAST REGIONAL,78,FS78,Morwell,emInc,84,77,91.7,7.2,2,20,15
Incident Total,SOUTH & EAST REGIONAL,78,FS78,Morwell,totInc,88,77,91.7,7.2,2,20,15
Non-Emergency Incident,CENTRAL,10,FS10,Richmond,nonInc,13,269,91.5,7.2,2,21,16
Emergency Incident,CENTRAL,10,FS10,Richmond,emInc,294,269,91.5,7.2,2,21,16
Incident Total,CENTRAL,10,FS10,Richmond,totInc,307,269,91.5,7.2,2,21,16
Non-Emergency Incident,CENTRAL,4,FS4,Brunswick,nonInc,42,159,91.4,7.4,2,22,17
Emergency Incident,CENTRAL,4,FS4,Brunswick,emInc,174,159,91.4,7.4,2,22,17
Incident Total,CENTRAL,4,FS4,Brunswick,totInc,216,159,91.4,7.4,2,22,17
Non-Emergency Incident,EASTERN,27,FS27,Nunawading,nonInc,26,94,91.3,7.5,2,23,18
Emergency Incident,EASTERN,27,FS27,Nunawading,emInc,103,94,91.3,7.5,2,23,18
Incident Total,EASTERN,27,FS27,Nunawading,totInc,129,94,91.3,7.5,2,23,18
Non-Emergency Incident,WESTERN D1,47,FS47,Footscray,nonInc,19,165,91.2,7.4,2,24,35
Emergency Incident,WESTERN D1,47,FS47,Footscray,emInc,181,165,91.2,7.4,2,24,35
Incident Total,WESTERN D1,47,FS47,Footscray,totInc,200,165,91.2,7.4,2,24,35
Non-Emergency Incident,EASTERN,20,FS20,Box Hill,nonInc,26,161,91,7.5,2,25,10
Emergency Incident,EASTERN,20,FS20,Box Hill,emInc,177,161,91,7.5,2,25,10
Incident Total,EASTERN,20,FS20,Box Hill,totInc,203,161,91,7.5,2,25,10
Non-Emergency Incident,NORTHERN,16,FS16,Greensborough,nonInc,14,70,90.9,7.7,2,26,31
Emergency Incident,NORTHERN,16,FS16,Greensborough,emInc,77,70,90.9,7.7,2,26,31
Incident Total,NORTHERN,16,FS16,Greensborough,totInc,91,70,90.9,7.7,2,26,31
Non-Emergency Incident,EASTERN,26,FS26,Croydon,nonInc,34,88,90.7,7.5,2,27,11
Emergency Incident,EASTERN,26,FS26,Croydon,emInc,97,88,90.7,7.5,2,27,11
